"co_seq_territorio","sg_uf","co_municipio_ibge","co_macrorregional","no_macrorregional","co_cir","no_cir_padrao","no_municipio","co_regiao_brasil","co_uf_ibge","no_regiao_brasil","tp_territorio","nu_altitude","nu_latitude","nu_longitude","vl_area_km2","vl_idhm"
5620,DF,539928,5305,MACRORREGIAO DE SAUDE Nº 3,53008,REGIAO DE SAUDE LESTE,REGIAO ADMINISTRATIVA DO ITAPOA,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
18,PR,410000,,,,,Estado do Parana,4,41,SUL,estado,,-25.42344,-49.27056,,
8,ES,320000,,,,,Estado do Espirito Santo,3,32,SUDESTE,estado,,-20.31836,-40.33604,,
5608,DF,539913,5304,MACRORREGIAO DE SAUDE Nº 2,53005,REGIAO DE SAUDE CENTRO-SUL,REGIAO ADMINISTRATIVA DO PARK WAY,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5599,DF,539903,5304,MACRORREGIAO DE SAUDE Nº 2,53005,REGIAO DE SAUDE CENTRO-SUL,REGIAO ADMINISTRATIVA DE CANDANGOLANDIA,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
1,AC,120000,,,,,Estado do Acre,1,12,NORTE,estado,,-9.97158,-67.8061,,
11,MG,310000,,,,,Estado de Minas Gerais,3,31,SUDESTE,estado,,-19.91921,-43.93604,,
5609,DF,539914,5305,MACRORREGIAO DE SAUDE Nº 3,53007,REGIAO DE SAUDE NORTE,REGIAO ADMINISTRATIVA DE PLANALTINA,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5611,DF,539916,5304,MACRORREGIAO DE SAUDE Nº 2,53005,REGIAO DE SAUDE CENTRO-SUL,REGIAO ADMINISTRATIVA DO RIACHO FUNDO I,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5615,DF,539920,5305,MACRORREGIAO DE SAUDE Nº 3,53008,REGIAO DE SAUDE LESTE,REGIAO ADMINISTRATIVA DE SAO SEBASTIAO,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5601,DF,539905,5304,MACRORREGIAO DE SAUDE Nº 2,53006,REGIAO DE SAUDE CENTRAL,REGIAO ADMINISTRATIVA DO CRUZEIRO,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5616,DF,539921,5305,MACRORREGIAO DE SAUDE Nº 3,53007,REGIAO DE SAUDE NORTE,REGIAO ADMINISTRATIVA DE SOBRADINHO,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5617,DF,539922,5305,MACRORREGIAO DE SAUDE Nº 3,53007,REGIAO DE SAUDE NORTE,REGIAO ADMINISTRATIVA DE SOBRADINHO II,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5598,DF,539902,5303,MACRORREGIAO DE SAUDE Nº 1,53002,REGIAO DE SAUDE OESTE,REGIAO ADMINISTRATIVA DE BRAZLANDIA,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5612,DF,539917,5304,MACRORREGIAO DE SAUDE Nº 2,53005,REGIAO DE SAUDE CENTRO-SUL,REGIAO ADMINISTRATIVA DO RIACHO FUNDO II,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5613,DF,539918,5303,MACRORREGIAO DE SAUDE Nº 1,53003,REGIAO DE SAUDE SUDOESTE,REGIAO ADMINISTRATIVA DE SAMAMBAIA,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5614,DF,539919,5304,MACRORREGIAO DE SAUDE Nº 2,53004,REGIAO DE SAUDE SUL,REGIAO ADMINISTRATIVA DE SANTA MARIA,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
23,RS,430000,,,,,Estado do Rio Grande do Sul,4,43,SUL,estado,,-30.02666,-51.2248,,
5624,DF,539934,5303,MACRORREGIAO DE SAUDE Nº 1,53003,REGIAO DE SAUDE SUDOESTE,REGIAO ADMINISTRATIVA DE VICENTE PIRES,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5625,DF,539935,5304,MACRORREGIAO DE SAUDE Nº 2,53005,REGIAO DE SAUDE CENTRO-SUL,REGIAO ADMINISTRATIVA DO SIA,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5603,DF,539907,5304,MACRORREGIAO DE SAUDE Nº 2,53005,REGIAO DE SAUDE CENTRO-SUL,REGIAO ADMINISTRATIVA DO GUARA,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
2474,PA,150195,1511,MACRORREGIONAL II,15009,RIO CAETES,CACHOEIRA DO PIRIA,1,15,NORTE,municipio,0,-1.759738,-46.54593,2461.969970703125,0.473
4895,SP,350730,3518,RRAS9,35064,JAU,BORACEIA,3,35,SUDESTE,municipio,480,-22.192645,-48.780751,122.11000061035156,0.754
22,RR,140000,,,,,Estado de Roraima,1,14,NORTE,estado,,2.81853,-60.67073,,
7,DF,530000,,,,,Distrito Federal,5,53,CENTRO-OESTE,estado,,-15.77463,-47.92463,,
6,CE,230000,,,,,Estado do Ceara,2,23,NORDESTE,estado,,-3.71701,-38.53926,,
5618,DF,539924,5303,MACRORREGIAO DE SAUDE Nº 1,53003,REGIAO DE SAUDE SUDOESTE,REGIAO ADMINISTRATIVA DE TAGUATINGA,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5610,DF,539915,5303,MACRORREGIAO DE SAUDE Nº 1,53003,REGIAO DE SAUDE SUDOESTE,REGIAO ADMINISTRATIVA DE RECANTO DA EMAS,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5619,DF,539925,5304,MACRORREGIAO DE SAUDE Nº 2,53006,REGIAO DE SAUDE CENTRAL,REGIAO ADMINISTRATIVA DO VARJAO,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
13,MT,510000,,,,,Estado do Mato Grosso,5,51,CENTRO-OESTE,estado,,-15.59113,-56.09147,,
9,GO,520000,,,,,Estado de Goias,5,52,CENTRO-OESTE,estado,,-16.67395,-49.25237,,
2,AL,270000,,,,,Estado de Alagoas,2,27,NORDESTE,estado,,-9.65966,-35.73452,,
5600,DF,539904,5303,MACRORREGIAO DE SAUDE Nº 1,53002,REGIAO DE SAUDE OESTE,REGIAO ADMINISTRATIVA DE CEILANDIA,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
3,AM,130000,,,,,Estado do Amazonas,1,13,NORTE,estado,,-3.10119,-60.02175,,
975,GO,520552,5209,MACRORREGIAO CENTRO-NORTE,52014,SERRA DA MESA,COLINAS DO SUL,5,52,CENTRO-OESTE,municipio,535,-16.67395,-49.25237,,
5606,DF,539910,5304,MACRORREGIAO DE SAUDE Nº 2,53005,REGIAO DE SAUDE CENTRO-SUL,REGIAO ADMINISTRATIVA DO NUCLEO BANDEIRANTES,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5604,DF,539908,5304,MACRORREGIAO DE SAUDE Nº 2,53006,REGIAO DE SAUDE CENTRAL,REGIAO ADMINISTRATIVA DO LAGO NORTE,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
5605,DF,539909,5304,MACRORREGIAO DE SAUDE Nº 2,53006,REGIAO DE SAUDE CENTRAL,REGIAO ADMINISTRATIVA DO LAGO SUL,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
10,MA,210000,,,,,Estado do Maranhao,2,21,NORDESTE,estado,,-2.52463,-44.30169,,
3700,RJ,330550,3312,MACRORREGIAO I,33002,BAIXADA LITORANEA,SAQUAREMA,3,33,SUDESTE,municipio,10,-22.929181,-42.509936,353.57000732421875,0.709
21,RO,110000,,,,,Estado de Rondonia,1,11,NORTE,estado,,-8.75729,-63.90237,,
17,PI,220000,,,,,Estado do Piaui,2,22,NORDESTE,estado,,-5.08689,-42.80119,,
26,SP,350000,,,,,Estado de Sao Paulo,3,35,SUDESTE,estado,,-23.54198,-46.63503,,
5602,DF,539906,5304,MACRORREGIAO DE SAUDE Nº 2,53004,REGIAO DE SAUDE SUL,REGIAO ADMINISTRATIVA DO GAMA,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
4894,SP,350720,3533,RRAS10,35092,ASSIS,BORA,3,35,SUDESTE,municipio,582,-22.269627,-50.540919,118.94999694824219,0.746
5114,SP,352670,3529,RRAS14,35101,ARARAS,LEME,3,35,SUDESTE,municipio,619,-22.180857,-47.384109,402.8699951171875,0.744
3272,PR,410370,4105,MACRORREGIONAL NORTE,41017,"17ª RS LONDRINA",CAMBE,4,41,SUL,municipio,650,-23.276575,-51.279832,495.3800048828125,0.734
4803,SE,280670,2801,MACRO UNICA,28001,ARACAJU,SAO CRISTOVAO,2,28,NORDESTE,municipio,47,-11.008443,-37.20436,436.8599853515625,0.662
2890,PE,260720,2607,METROPOLITANA,26010,RECIFE,IPOJUCA,2,26,NORDESTE,municipio,10,-8.393034,-35.060864,527.1099853515625,0.619
2465,PA,150150,1512,MACRORREGIONAL I,15006,METROPOLITANA I,BENEVIDES,1,15,NORTE,municipio,28,-1.361829,-48.243408,187.8300018310547,0.665
5336,SP,354680,3525,RRAS2,35011,ALTO DO TIETE,SANTA ISABEL,3,35,SUDESTE,municipio,655,-23.317194,-46.223668,363.3299865722656,0.738
3361,PR,410980,4105,MACRORREGIONAL NORTE,41017,"17ª RS LONDRINA",IBIPORA,4,41,SUL,municipio,497,-23.265941,-51.052243,297.739990234375,0.726
1915,MG,314650,3105,OESTE,31030,FORMIGA,PAINS,3,31,SUDESTE,municipio,693,-20.370467,-45.662685,421.8599853515625,0.728
697,CE,230420,2308,"3ª MACRO - CARIRI",23020,"20ª REGIAO CRATO",CRATO,2,23,NORDESTE,municipio,426,-7.215303,-39.410299,1176.469970703125,0.713
1973,MG,315150,3101,SUL,31093,PIUMHI,PIUMHI,3,31,SUDESTE,municipio,793,-20.47623,-45.95891,902.469970703125,0.737
3529,PR,412220,4107,MACRORREGIONAL LESTE,41002,"2ª RS METROPOLITANA",RIO BRANCO DO SUL,4,41,SUL,municipio,1053,-25.189189,-49.311546,812.2899780273438,0.679
119,AL,270644,2704,"1ª MACRORREGIAO DE SAUDE",27001,"1ª REGIAO DE SAUDE",PARIPUEIRA,2,27,NORDESTE,municipio,0,-9.463133,-35.551977,92.97000122070312,0.605
2886,PE,260680,2607,METROPOLITANA,26010,RECIFE,IGARASSU,2,26,NORDESTE,municipio,19,-7.82881,-34.901306,305.55999755859375,0.665
2920,PE,260940,2607,METROPOLITANA,26010,RECIFE,MORENO,2,26,NORDESTE,municipio,96,-8.108706,-35.08354,196.07000732421875,0.652
92,AL,270390,2704,"1ª MACRORREGIAO DE SAUDE",27003,"3ª REGIAO DE SAUDE",JUNDIA,2,27,NORDESTE,municipio,94,-8.932968,-35.566925,92.22000122070312,0.562
1547,MG,311600,3110,LESTE DO SUL,31059,MANHUACU,CHALE,3,31,SUDESTE,municipio,370,-20.045328,-41.689714,212.6699981689453,0.655
1614,MG,312190,3107,SUDESTE,31048,UBA,DIVINESIA,3,31,SUDESTE,municipio,753,-20.991709,-43.000263,116.97000122070312,0.657
1989,MG,315290,3101,SUL,31009,SAO SEBASTIAO DO PARAISO,PRATAPOLIS,3,31,SUDESTE,municipio,742,-20.74105,-46.862402,215.52000427246094,0.729
2077,MG,316060,3103,CENTRO,31019,CURVELO,SANTO HIPOLITO,3,31,SUDESTE,municipio,526,-18.296768,-44.222857,430.6600036621094,0.657
3881,RO,110003,1101,MACRORREGIONAL II (CACOAL),11006,CONE SUL,CABIXI,1,11,NORTE,municipio,230,-13.494479,-60.552032,1314.3499755859375,0.650
3944,RR,140060,1401,MACRO-RORAIMA,14002,SUL,SAO LUIZ,1,14,NORTE,municipio,52,1.010193,-60.041894,1526.8900146484375,0.649
2922,PE,260960,2607,METROPOLITANA,26010,RECIFE,OLINDA,2,26,NORDESTE,municipio,16,-8.010166,-34.854504,41.68000030517578,0.735
5190,SP,353340,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,NOVA ODESSA,3,35,SUDESTE,municipio,570,-22.783186,-47.294059,73.79000091552734,0.791
5230,SP,353710,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,PEDREIRA,3,35,SUDESTE,municipio,590,-22.741347,-46.894846,108.81999969482422,0.769
38,AC,120034,1201,MACRO UNICA - AC,12002,BAIXO ACRE E PURUS,MANOEL URBANO,1,12,NORTE,municipio,162,-8.832911,-69.267862,10633.2099609375,0.551
182,AM,130200,1303,LESTE,13004,MEDIO AMAZONAS,ITAPIRANGA,1,13,NORTE,municipio,43,-2.74081,-58.029257,4231.14990234375,0.654
183,AM,130210,1302,OESTE,13008,TRIANGULO,JAPURA,1,13,NORTE,municipio,50,-1.882366,-66.929051,55791.83984375,0.522
184,AM,130220,1302,OESTE,13008,TRIANGULO,JURUA,1,13,NORTE,municipio,55,-3.484384,-66.071795,19400.689453125,0.522
369,BA,291150,2910,SUL (NBS - ILHEUS),29012,ITABUNA,GONGOGI,2,29,NORDESTE,municipio,115,-14.319481,-39.46899,195.38999938964844,0.576
506,BA,292275,2910,SUL (NBS - ILHEUS),29027,VALENCA,NOVA IBIA,2,29,NORDESTE,municipio,292,-13.811995,-39.618174,178.75,0.570
2848,PE,260345,2607,METROPOLITANA,26010,RECIFE,CAMARAGIBE,2,26,NORDESTE,municipio,55,-8.023505,-34.978152,51.2599983215332,0.692
3580,PR,412625,4106,MACRORREGIONAL NOROESTE,41015,"15ª RS MARINGA",SARANDI,4,41,SUL,municipio,592,-23.444117,-51.876016,103.45999908447266,0.695
3937,RR,140023,1401,MACRO-RORAIMA,14002,SUL,CAROEBE,1,14,NORTE,municipio,135,0.884203,-59.695886,12066.0498046875,0.639
3938,RR,140028,1401,MACRO-RORAIMA,14002,SUL,IRACEMA,1,14,NORTE,municipio,80,2.183046,-61.041546,14412.6904296875,0.582
185,AM,130230,1302,OESTE,13009,ALTO SOLIMOES,JUTAI,1,13,NORTE,municipio,48,-2.758144,-66.75947,69551.828125,0.516
1728,MG,313130,3114,VALE DO ACO,31037,IPATINGA,IPATINGA,3,31,SUDESTE,municipio,240,-19.470275,-42.547612,164.8800048828125,0.771
4916,SP,350920,3524,RRAS3,35012,FRANCO DA ROCHA,CAJAMAR,3,35,SUDESTE,municipio,735,-23.355014,-46.878146,131.38999938964844,0.728
658,CE,230100,2310,"1ª MACRO - FORTALEZA",23001,"1ª REGIAO FORTALEZA",AQUIRAZ,2,23,NORDESTE,municipio,14,-3.899293,-38.389563,482.3800048828125,0.641
186,AM,130240,1304,CENTRAL,13006,REGIONAL PURUS,LABREA,1,13,NORTE,municipio,75,-7.264133,-64.794765,68233.796875,0.531
187,AM,130250,1304,CENTRAL,13002,RIO NEGRO E SOLIMOES,MANACAPURU,1,13,NORTE,municipio,60,-3.290657,-60.621581,7330.06982421875,0.614
208,AM,130410,1304,CENTRAL,13006,REGIONAL PURUS,TAPAUA,1,13,NORTE,municipio,54,-5.620855,-63.1808,85488.03125,0.502
1955,MG,315000,3111,NORDESTE,31096,ITAMBACURI,PESCADOR,3,31,SUDESTE,municipio,442,-18.356962,-41.600578,317.4599914550781,0.656
1977,MG,315190,3110,LESTE DO SUL,31059,MANHUACU,POCRANE,3,31,SUDESTE,municipio,225,-19.620795,-41.633425,691.0700073242188,0.626
2463,PA,150140,1512,MACRORREGIONAL I,15006,METROPOLITANA I,BELEM,1,15,NORTE,municipio,10,-1.455396,-48.489756,1059.4599609375,0.746
209,AM,130420,1302,OESTE,13008,TRIANGULO,TEFE,1,13,NORTE,municipio,75,-3.368219,-64.719343,23704.48046875,0.639
3879,RO,110001,1101,MACRORREGIONAL II (CACOAL),11005,ZONA DA MATA,ALTA FLORESTA D'OESTE,1,11,NORTE,municipio,350,-11.5805,-61.5715,7067.02978515625,0.641
210,AM,130423,1302,OESTE,13009,ALTO SOLIMOES,TONANTINS,1,13,NORTE,municipio,55,-2.865825,-67.791904,6432.66015625,0.548
211,AM,130426,1302,OESTE,13008,TRIANGULO,UARINI,1,13,NORTE,municipio,60,-2.996087,-65.113298,10246.240234375,0.527
3670,RJ,330360,3312,MACRORREGIAO I,33003,CENTRO-SUL,PARACAMBI,3,33,SUDESTE,municipio,50,-22.607811,-43.710836,179.67999267578125,0.720
5162,SP,353120,3528,RRAS15,35074,CIRCUITO DAS AGUAS,MONTE ALEGRE DO SUL,3,35,SUDESTE,municipio,750,-22.681699,-46.68098,110.30999755859375,0.759
3234,PR,410115,4106,MACRORREGIONAL NOROESTE,41015,"15ª RS MARINGA",ANGULO,4,41,SUL,municipio,300,-23.194609,-51.915356,106.0199966430664,0.721
212,AM,130430,1303,LESTE,13004,MEDIO AMAZONAS,URUCARA,1,13,NORTE,municipio,26,-2.529364,-57.753797,27904.759765625,0.620
3880,RO,110002,1102,MACRORREGIAO I - PORTO VELHO,11001,VALE DO JAMARI,ARIQUEMES,1,11,NORTE,municipio,142,-9.905711,-63.032516,4426.56982421875,0.702
3882,RO,110004,1101,MACRORREGIONAL II (CACOAL),11002,CAFE,CACOAL,1,11,NORTE,municipio,200,-11.434271,-61.456167,3792.949951171875,0.718
2333,MT,510305,5103,MACRORREGIAO NORTE ,51014,TELES PIRES,CLAUDIA,5,51,CENTRO-OESTE,municipio,368,-11.5075,-54.883476,3849.989990234375,0.699
2356,MT,510455,5103,MACRORREGIAO NORTE ,51010,NORTE MATOGROSSENSE,ITAUBA,5,51,CENTRO-OESTE,municipio,240,-11.061423,-55.276574,4529.580078125,0.690
932,GO,520180,5210,MACRORREGIAO CENTRO SUDESTE,52002,CENTRO SUL,ARAGOIANIA,5,52,CENTRO-OESTE,municipio,859,-16.908699,-49.447649,219.5500030517578,0.684
2410,MT,510724,5103,MACRORREGIAO NORTE ,51014,TELES PIRES,SANTA CARMEM,5,51,CENTRO-OESTE,municipio,386,-11.912542,-55.226297,3855.360107421875,0.715
1008,GO,520920,5208,MACRORREGIAO CENTRO-OESTE,52001,CENTRAL,GUAPO,5,52,CENTRO-OESTE,municipio,707,-16.829656,-49.534531,516.8400268554688,0.697
1091,GO,521710,5210,MACRORREGIAO CENTRO SUDESTE,52002,CENTRO SUL,PIRACANJUBA,5,52,CENTRO-OESTE,municipio,742,-17.302038,-49.01701,2403.169921875,0.721
3883,RO,110005,1101,MACRORREGIONAL II (CACOAL),11006,CONE SUL,CEREJEIRAS,1,11,NORTE,municipio,277,-13.186987,-60.816836,2783.300048828125,0.692
1156,MA,210010,2111,MACRORREGIAO LESTE,21005,CAXIAS,AFONSO CUNHA,2,21,NORDESTE,municipio,76,-4.136313,-43.327527,371.3399963378906,0.529
2947,PE,261200,2608,AGRESTE,26003,CARUARU,SAIRE,2,26,NORDESTE,municipio,663,-8.328638,-35.696737,189.3699951171875,0.585
65,AL,270150,2703,"2ª MACRORREGIAO DE SAUDE",27007,"7ª REGIAO DE SAUDE",CAMPO GRANDE,2,27,NORDESTE,municipio,142,-9.955423,-36.792608,169.99000549316406,0.524
328,BA,290800,2910,SUL (NBS - ILHEUS),29012,ITABUNA,COARACI,2,29,NORDESTE,municipio,195,-14.636996,-39.555609,274.5,0.613
1442,MG,310665,3108,NORTE,31085,TAIOBEIRAS,BERIZAL,3,31,SUDESTE,municipio,692,-15.610028,-41.743202,488.760009765625,0.604
1883,MG,314435,3114,VALE DO ACO,31037,IPATINGA,NAQUE,3,31,SUDESTE,municipio,330,-19.229132,-42.33119,127.16999816894531,0.675
1940,MG,314875,3107,SUDESTE,31042,CARANGOLA,PEDRA BONITA,3,31,SUDESTE,municipio,900,-20.521879,-42.330439,173.92999267578125,0.573
2000,MG,315400,3110,LESTE DO SUL,31060,PONTE NOVA,RAUL SOARES,3,31,SUDESTE,municipio,294,-20.10611,-42.450197,763.3599853515625,0.655
2025,MG,315630,3107,SUDESTE,31048,UBA,RODEIRO,3,31,SUDESTE,municipio,336,-21.203467,-42.858622,72.66999816894531,0.668
900,ES,320500,3207,METROPOLITANA,32002,METROPOLITANA,SERRA,3,32,SUDESTE,municipio,70,-20.121032,-40.307408,551.6900024414062,0.739
3622,RJ,330020,3312,MACRORREGIAO I,33002,BAIXADA LITORANEA,ARARUAMA,3,33,SUDESTE,municipio,15,-22.869651,-42.332625,638.02001953125,0.718
5194,SP,353380,3533,RRAS10,35094,OURINHOS,OLEO,3,35,SUDESTE,municipio,682,-22.943461,-49.341924,198.13999938964844,0.730
3279,PR,410420,4107,MACRORREGIONAL LESTE,41002,"2ª RS METROPOLITANA",CAMPO LARGO,4,41,SUL,municipio,956,-25.452535,-49.529026,1243.550048828125,0.745
3533,PR,412260,4106,MACRORREGIONAL NOROESTE,41013,"13ª RS CIANORTE",RONDON,4,41,SUL,municipio,400,-23.411958,-52.765877,555.1300048828125,0.713
1065,GO,521450,5208,MACRORREGIAO CENTRO-OESTE,52001,CENTRAL,NEROPOLIS,5,52,CENTRO-OESTE,municipio,832,-16.404708,-49.222708,204.22000122070312,0.721
3893,RO,110015,1101,MACRORREGIONAL II (CACOAL),11003,CENTRAL,OURO PRETO DO OESTE,1,11,NORTE,municipio,280,-10.716717,-62.256532,1969.8499755859375,0.682
3894,RO,110018,1101,MACRORREGIONAL II (CACOAL),11002,CAFE,PIMENTA BUENO,1,11,NORTE,municipio,195,-11.671959,-61.197963,6240.93017578125,0.710
3895,RO,110020,1102,MACRORREGIAO I - PORTO VELHO,11004,MADEIRA-MAMORE,PORTO VELHO,1,11,NORTE,municipio,85,-8.760772,-63.899902,34096.390625,0.736
3896,RO,110025,1101,MACRORREGIONAL II (CACOAL),11003,CENTRAL,PRESIDENTE MEDICI,1,11,NORTE,municipio,185,-11.168974,-61.898617,1758.469970703125,0.664
3897,RO,110026,1102,MACRORREGIAO I - PORTO VELHO,11001,VALE DO JAMARI,RIO CRESPO,1,11,NORTE,municipio,0,-9.699648,-62.901127,1717.6400146484375,0.643
3898,RO,110028,1101,MACRORREGIONAL II (CACOAL),11005,ZONA DA MATA,ROLIM DE MOURA,1,11,NORTE,municipio,290,-11.727071,-61.771411,1457.8900146484375,0.700
3899,RO,110029,1101,MACRORREGIONAL II (CACOAL),11005,ZONA DA MATA,SANTA LUZIA D'OESTE,1,11,NORTE,municipio,260,-11.907362,-61.777685,1197.800048828125,0.670
3900,RO,110030,1101,MACRORREGIONAL II (CACOAL),11006,CONE SUL,VILHENA,1,11,NORTE,municipio,600,-12.750183,-60.148847,11518.91015625,0.731
3901,RO,110032,1101,MACRORREGIONAL II (CACOAL),11003,CENTRAL,SAO MIGUEL DO GUAPORE,1,11,NORTE,municipio,205,-11.69527,-62.719222,7460.22021484375,0.646
3902,RO,110033,1102,MACRORREGIAO I - PORTO VELHO,11004,MADEIRA-MAMORE,NOVA MAMORE,1,11,NORTE,municipio,134,-10.407697,-65.334596,10071.6396484375,0.587
3903,RO,110034,1101,MACRORREGIONAL II (CACOAL),11003,CENTRAL,ALVORADA D'OESTE,1,11,NORTE,municipio,224,-11.346271,-62.284697,3029.18994140625,0.643
3904,RO,110037,1101,MACRORREGIONAL II (CACOAL),11005,ZONA DA MATA,ALTO ALEGRE DOS PARECIS,1,11,NORTE,municipio,405,-12.131955,-61.834979,3958.27001953125,0.592
3905,RO,110040,1102,MACRORREGIAO I - PORTO VELHO,11001,VALE DO JAMARI,ALTO PARAISO,1,11,NORTE,municipio,0,-9.714294,-63.318834,2651.820068359375,0.625
3906,RO,110045,1102,MACRORREGIAO I - PORTO VELHO,11001,VALE DO JAMARI,BURITIS,1,11,NORTE,municipio,200,-10.194272,-63.832438,3265.81005859375,0.616
3907,RO,110050,1101,MACRORREGIONAL II (CACOAL),11005,ZONA DA MATA,NOVO HORIZONTE DO OESTE,1,11,NORTE,municipio,0,-11.696145,-61.995137,843.4500122070312,0.634
3908,RO,110060,1102,MACRORREGIAO I - PORTO VELHO,11001,VALE DO JAMARI,CACAULANDIA,1,11,NORTE,municipio,205,-10.348981,-62.904328,1961.780029296875,0.646
3909,RO,110070,1102,MACRORREGIAO I - PORTO VELHO,11001,VALE DO JAMARI,CAMPO NOVO DE RONDONIA,1,11,NORTE,municipio,0,-10.57125,-63.626551,3442.010009765625,0.593
